grdc_no,date,original,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
2550500,1965-01-01,53.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-02-01,44.7,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-03-01,34.3,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-04-01,65.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-05-01,162.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-06-01,445.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-07-01,693.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-08-01,987.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-09-01,601.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-10-01,220.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-11-01,148.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1965-12-01,82.4,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1966-01-01,66.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1966-02-01,49.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1966-03-01,39.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1966-04-01,50.2,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1966-05-01,129.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1966-06-01,378.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1966-07-01,971.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
