CROP,YEAR,YIELD,AREA,PRODUCTION
"OILSEED 
",1990,156310.0,92140.0,589.0
"OILSEED 
",1991,154570.0,87840.0,568.0
"OILSEED 
",1992,165240.0,93690.0,567.0
"OILSEED 
",1993,177486.0,107535.0,606.0
"OILSEED 
",1994,184460.0,116300.0,630.0
"OILSEED 
",1995,185000.0,115990.0,627.0
"OILSEED 
",1996,182110.0,119250.0,655.0
"OILSEED 
",1997,179216.0,110226.0,615.0
"OILSEED 
",1998,190429.0,119731.0,629.0
"OILSEED 
",1999,189629.0,122751.0,647.0
"OILSEED 
",2000,188455.0,132331.0,702.0
"OILSEED 
",2001,187820.0,134950.0,719.0
"OILSEED 
",2002,186720.0,124931.0,669.0
"OILSEED 
",2003,186741.0,132865.0,711.0
"OILSEED 
",2004,187823.0,141989.0,756.0
"OILSEED 
",2005,188062.0,139322.0,741.0
"OILSEED 
",2006,184218.0,135660.0,736.0
"OILSEED 
",2007,180328.0,134286.0,745.0
"OILSEED 
",2008,181361.0,135494.0,747.0
"OILSEED 
",2009,198540.0,155050.0,781.0
"OILSEED 
",2010,213706.0,176186.0,824.0
"OILSEED 
",2011,214835.0,179145.1,834.0
"OILSEED 
",2012,215600.0,179000.0,830.0
"OILSEED 
",2013,207457.0,181535.3,875.0
"POTATO 
",1990,84280.0,738030.0,8757.0
"POTATO 
",1991,85300.0,732860.0,8592.0
"POTATO 
",1992,87020.0,733300.0,8427.0
"POTATO 
",1993,89664.0,748913.0,8352.0
"POTATO 
",1994,97634.0,838932.0,8593.0
"POTATO 
",1995,106000.0,898350.0,8475.0
"POTATO 
",1996,110850.0,997400.0,8998.0
"POTATO 
",1997,116290.0,971680.0,8356.0
"POTATO 
",1998,118043.0,1091218.0,9244.0
"POTATO 
",1999,122620.0,1182500.0,9644.0
"POTATO 
",2000,129019.0,1313717.0,10182.0
"POTATO 
",2001,135093.0,1472757.0,10902.0
"POTATO 
",2002,140171.0,1531315.0,10925.0
"POTATO 
",2003,143027.0,1643357.0,11490.0
"POTATO 
",2004,146789.0,1738840.0,11846.0
"POTATO 
",2005,150864.0,1974755.0,13090.0
"POTATO 
",2006,153534.0,1943246.0,12657.0
"POTATO 
",2007,156737.0,2054817.0,13110.0
