CROP,YEAR,YIELD,AREA,PRODUCTION,production_per_hectare,yield_anomaly,yield_zscore
"OILSEED 
",1990,156310.0,92140.0,589.0,0.006392446277403951,-30611.5,-1.958743926061586
"OILSEED 
",1991,154570.0,87840.0,568.0,0.006466302367941712,-32351.5,-2.0700816400366335
"OILSEED 
",1992,165240.0,93690.0,567.0,0.006051873198847263,-21681.5,-1.3873383020402228
"OILSEED 
",1993,177486.0,107535.0,606.0,0.005635374529223043,-9435.5,-0.6037511495468727
"OILSEED 
",1994,184460.0,116300.0,630.0,0.005417024935511608,-2461.5,-0.15750447295952807
"OILSEED 
",1995,185000.0,115990.0,627.0,0.005405638417104923,-1921.5,-0.12295138931209962
"OILSEED 
",1996,182110.0,119250.0,655.0,0.005492662473794549,-4811.5,-0.3078743740177816
"OILSEED 
",1997,179216.0,110226.0,615.0,0.005579445865766698,-7705.5,-0.4930533074912223
"OILSEED 
",1998,190429.0,119731.0,629.0,0.005253443135027687,3507.5,0.22443507572843582
"OILSEED 
",1999,189629.0,122751.0,647.0,0.005270832824172512,2707.5,0.17324532217668995
"OILSEED 
",2000,188455.0,132331.0,702.0,0.0053048794311234704,1533.5,0.09812435883950288
"OILSEED 
",2001,187820.0,134950.0,719.0,0.00532789922193405,898.5,0.057492491957804585
"OILSEED 
",2002,186720.0,124931.0,669.0,0.0053549559356764935,-201.5,-0.012893419175845992
"OILSEED 
",2003,186741.0,132865.0,711.0,0.005351296428705829,-180.5,-0.011549688145112662
"OILSEED 
",2004,187823.0,141989.0,756.0,0.00532435611209319,901.5,0.057684453533623635
"OILSEED 
",2005,188062.0,139322.0,741.0,0.005318614432752903,1140.5,0.07297739240720771
"OILSEED 
",2006,184218.0,135660.0,736.0,0.005425328025947221,-2703.5,-0.17298937340893122
"OILSEED 
",2007,180328.0,134286.0,745.0,0.005547860536466944,-6593.5,-0.4218995500542955
"OILSEED 
",2008,181361.0,135494.0,747.0,0.005513159254284323,-5560.5,-0.3558007807806037
"OILSEED 
",2009,198540.0,155050.0,781.0,0.005037084811351177,11618.5,0.7434351895511992
"OILSEED 
",2010,213706.0,176186.0,824.0,0.004676875574676762,26784.5,1.7138649425084218
"OILSEED 
",2011,214835.0,179145.1,834.0,0.004655444106481282,27913.5,1.786106482208323
"OILSEED 
",2012,215600.0,179000.0,830.0,0.004636871508379888,28678.5,1.83505668404218
"OILSEED 
",2013,207457.0,181535.3,875.0,0.004819999195748706,20535.5,1.3140089800773467
"POTATO 
",1990,84280.0,738030.0,8757.0,0.011865371326368846,-53886.08333333334,-1.42191917722117
"POTATO 
",1991,85300.0,732860.0,8592.0,0.011723930900854187,-52866.08333333334,-1.3950039243200851
"POTATO 
",1992,87020.0,733300.0,8427.0,0.011491885994817947,-51146.08333333334,-1.34961741942806
"POTATO 
",1993,89664.0,748913.0,8352.0,0.01115216320186724,-48502.08333333334,-1.2798488619079933
"POTATO 
",1994,97634.0,838932.0,8593.0,0.010242784874101834,-40532.08333333334,-1.0695404642397137
"POTATO 
",1995,106000.0,898350.0,8475.0,0.009433962264150943,-32166.083333333343,-0.8487826154451306
"POTATO 
",1996,110850.0,997400.0,8998.0,0.009021455785041106,-27316.083333333343,-0.7208032266507571
