District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female,Persons per Family,Persons per Household
Taplejung,Aathrai Tribeni Rural Municipality,2869,2735,12288,6005,6283,4.283025444405716,4.492870201096892
Taplejung,Maiwakhola Rural Municipality,2275,2178,10365,5264,5101,4.556043956043956,4.758953168044077
Taplejung,Meringden Rural Municipality,2683,2528,12040,6181,5859,4.487513976891539,4.762658227848101
Taplejung,Mikwakhola Rural Municipality,1862,1792,7991,4000,3991,4.291621911922664,4.459263392857143
Taplejung,Phaktanglung Rural Municipality,2864,2700,11925,6239,5686,4.163756983240224,4.416666666666667
Taplejung,Phungling Municipality,7306,5888,28786,14160,14626,3.9400492745688473,4.888926630434782
Taplejung,Sidingba Rural Municipality,2604,2484,10981,5593,5388,4.216973886328725,4.420692431561997
Taplejung,Sirijangha Rural Municipality,3329,3197,14186,7227,6959,4.261339741664163,4.43728495464498
Taplejung,Pathivara Yangwarak Rural Municipality,2738,2637,11797,5855,5942,4.308619430241052,4.473644292756921
Panchthar,Falelung Rural Municipality,4940,4773,20531,10211,10320,4.156072874493927,4.301487534045673
Panchthar,Falgunanda Rural Municipality,5293,4968,21253,10417,10836,4.015303230682033,4.277979066022544
Panchthar,Hilihang Rural Municipality,4878,4647,20537,10160,10377,4.210127101271013,4.419410372283194
Panchthar,Kummayak Rural Municipality,3199,3012,13020,6532,6488,4.070021881838074,4.322709163346613
Panchthar,Miklajung Rural Municipality,5509,5163,21328,10535,10793,3.8714830277727357,4.130931628897928
Panchthar,Phidim Municipality,12433,10442,48713,23963,24750,3.9180406981420415,4.6651024707910365
Panchthar,Tumbewa Rural Municipality,2752,2636,11063,5644,5419,4.019985465116279,4.196889226100152
Panchthar,Yangwarak Rural Municipality,3964,3765,16828,8509,8319,4.245206861755802,4.4695883134130145
Ilam,Chulachuli Rural Municipality,5624,5533,22856,11215,11641,4.064011379800854,4.130851256099765
Ilam,Deumai Municipality,7907,7535,31531,15807,15724,3.9877323890223852,4.184605175846052
