Districts,Households,Average Household Size,Male,Female,Area in Sq. KM,Total Population,Population Density,Male-Female Ratio,Household Size Ratio
Taplejung,26509,4.81,60552,66909,3646,127461,34.959133296763575,0.9049903600412501,4.808216077558565
Panchthar,41196,4.66,90186,101631,1241,191817,154.56647864625302,0.8873867225551259,4.656204485872415
Ilam,64502,4.5,141126,149128,1703,290254,170.43687610099823,0.9463413979936699,4.4999224830237825
Jhapa,184552,4.4,385096,427554,1606,812650,506.00871731008715,0.9006955846512955,4.403365988989553
Morang,213997,4.51,466712,498658,1855,965370,520.4150943396227,0.9359360523645465,4.5111380066075695
Sunsari,162407,4.7,371229,392258,1257,763487,607.3882259347653,0.9463898760509665,4.7010719981281595
Dhankuta,37637,4.34,76515,86897,891,163412,183.40291806958473,0.8805252195127565,4.3417913223689455
Terhathum,22094,4.6,47151,54426,679,101577,149.5979381443299,0.866332267666189,4.597492531909116
Sankhuwasabha,34624,4.58,75225,83517,3480,158742,45.61551724137931,0.900714824526743,4.584738909426987
Bhojpur,39419,4.63,86053,96406,1507,182459,121.0743198407432,0.8926104184386864,4.6287069687206674
Solukhumbu,23785,4.45,51200,54686,3312,105886,31.970410628019323,0.9362542515451853,4.45179735127181
Okhaldhunga,32502,4.55,68687,79297,1074,147984,137.7877094972067,0.8661992256958019,4.553073657005723
Khotang,42664,4.84,97092,109220,1591,206312,129.67441860465115,0.8889580662882256,4.835739733733359
Udayapur,66557,4.77,149712,167820,2063,317532,153.91759573436744,0.8920986771540936,4.770828012079871
Saptari,121098,5.28,313846,325438,1363,639284,469.0271460014674,0.964380312071731,5.2790632380386135
Siraha,117962,5.4,310101,327227,1188,637328,536.4713804713805,0.9476632429475563,5.402824638442889
Dhanusa,138249,5.46,378538,376239,1180,754777,639.6415254237288,1.006110477648516,5.4595476278309425
Mahottari,111316,5.64,311016,316564,1002,627580,626.3273453093813,0.9824743179894113,5.6378238528154085
Sarlahi,132844,5.79,389756,379973,1259,769729,611.3812549642573,1.0257465662033882,5.794232332660865
Sindhuli,57581,5.14,142123,154069,2491,296192,118.90485748695303,0.9224633118927233,5.143919001059377
Ramechhap,43910,4.62,93386,109260,1546,202646,131.07761966364814,0.8547135273659162,4.615030744705079
Dolakha,45688,4.08,87003,99554,2191,186557,85.14696485623003,0.8739277176205879,4.083282262300823
Sindhupalchok,66688,4.32,138351,149447,2542,287798,113.21715184893785,0.9257529425147377,4.315589011516315
Kavrepalanchok,80720,4.73,182936,199001,1396,381937,273.59383954154725,0.919271762453455,4.731627849355798
Lalitpur,109797,4.26,238082,230050,385,468132,1215.9272727272728,1.0349141490980223,4.263613759938796
Bhaktapur,68636,4.44,154884,149767,119,304651,2560.09243697479,1.034166405149332,4.438647357072091
Kathmandu,436344,4.0,913001,831239,395,1744240,4415.797468354431,1.0983616023790992,3.997396549511395
Nuwakot,59215,4.69,132787,144684,1121,277471,247.52096342551295,0.9177725249509275,4.685822848940302
Rasuwa,9778,4.43,21475,21825,1544,43300,28.0440414507772,0.983963344788087,4.428308447535283
Dhading,73851,4.55,157834,178233,1926,336067,174.4896157840083,0.8855486918808526,4.550608657973487
Makwanpur,86127,4.88,206684,213793,2426,420477,173.32110469909315,0.9667482097168757,4.882057891253614
Rautahat,106668,6.44,351079,335643,1126,686722,609.8774422735346,1.0459893398640818,6.437938275771553
Bara,108635,6.33,351244,336464,1190,687708,577.9058823529411,1.0439274335441533,6.330445988861785
Parsa,95536,6.29,312358,288659,1353,601017,444.21064301552104,1.0821003329187726,6.291000251214202
Chitawan,132462,4.38,279087,300897,2218,579984,261.4896302975654,0.9275167249922731,4.378493454726638
Gorkha,66506,4.08,121041,150020,3610,271061,75.08614958448753,0.8068324223436875,4.075737527441133
Lamjung,42079,3.99,75913,91811,1692,167724,99.12765957446808,0.8268399211423467,3.985931224601345
Tanahu,78309,4.13,143410,179878,1546,323288,209.11254851228978,0.7972625890881597,4.1283632788057565
Syangja,68881,4.2,125833,163315,1164,289148,248.40893470790377,0.7704926063129535,4.19779039212555
Kaski,125673,3.92,236385,255713,2017,492098,243.97521070897372,0.9244152624231071,3.91570186117941
Manang,1480,4.42,3661,2877,2246,6538,2.910952804986643,1.2725060827250607,4.417567567567567
Mustang,3354,4.01,7093,6359,3573,13452,3.7649034424853065,1.1154269539235728,4.010733452593918
Myagdi,27762,4.09,51395,62246,2297,113641,49.473661297344364,0.825675545416573,4.093401051797421
