year,t2m,tp,sf
1950,267.45096,0.0055138525,0.002982107
1951,266.84628,0.0043310574,0.0019109118
1952,266.96695,0.00467673,0.0025537857
1953,266.84967,0.0039751264,0.0017872263
1954,267.19626,0.0044763903,0.0018399098
1955,267.60474,0.0037893113,0.0016343145
1956,267.2247,0.004260665,0.0018942035
1957,266.9809,0.003879562,0.0016455837
1958,268.90805,0.0041646836,0.0015513091
1959,268.58597,0.0039378726,0.0016060714
1960,268.6783,0.0038023868,0.0013145223
1961,267.60263,0.0044303085,0.0017350408
1962,267.38803,0.0045628343,0.0019263993
1963,267.21658,0.0045567118,0.0019188927
1964,268.69223,0.003979933,0.0015683533
1965,267.2572,0.0037283564,0.00164808
1966,268.06653,0.0040912526,0.0015155833
1967,267.60336,0.004282975,0.0018124488
1968,266.8014,0.004597629,0.002042222
1969,268.25162,0.0036164501,0.0013321029
1970,268.13095,0.004255998,0.0017561186
1971,267.69302,0.0042271824,0.0018668139
1972,267.369,0.004222047,0.0017883513
1973,267.26993,0.0046146214,0.0020965065
1974,267.91467,0.003911127,0.0015885099
1975,267.4786,0.004077696,0.0018007677
1976,268.42288,0.003647833,0.0014277137
1977,268.37296,0.0038726644,0.00146171
1978,267.3414,0.0040902817,0.0016176924
1979,267.40335,0.003980823,0.0017022603
1980,267.87195,0.003944675,0.0016225562
1981,267.56024,0.003844561,0.0014456086
1982,267.3926,0.003785138,0.0016177344
1983,267.18796,0.0036424177,0.0014717682
1984,268.27487,0.0041401763,0.0015930734
1985,268.16592,0.0043733423,0.0018040515
1986,266.9581,0.0042379196,0.001811516
1987,267.70486,0.0042722644,0.0017202031
1988,268.3455,0.004631328,0.0018371822
1989,267.3076,0.004270023,0.001814529
1990,268.5618,0.004318729,0.0016026894
1991,267.86203,0.0041185496,0.0015402952
1992,267.65768,0.003363939,0.0013536258
1993,268.3973,0.0039323536,0.0015076931
1994,267.73517,0.0039515477,0.0015650304
1995,267.25656,0.0046505346,0.0020907207
1996,267.8507,0.0040276153,0.0015959317
1997,266.84555,0.0041522244,0.0019195589
1998,268.5546,0.004377319,0.0014576229
1999,268.65228,0.0042390698,0.0016528261
2000,267.87155,0.0043092566,0.0017244281
2001,268.1326,0.0038748756,0.0015012748
2002,267.56473,0.0043406743,0.0018079705
2003,267.3702,0.0042210226,0.0017059565
2004,268.0174,0.0041936827,0.00152575
2005,267.55612,0.0037940405,0.0014804994
2006,268.45355,0.003899101,0.0013734716
2007,268.66196,0.004328611,0.0016258234
2008,268.64377,0.004312135,0.001621273
2009,268.89862,0.0042425212,0.0015752927
2010,268.7098,0.0045704837,0.0015698659
2011,267.84003,0.004888885,0.0019070813
2012,267.39383,0.0045385207,0.0018021412
2013,267.7867,0.004536178,0.0017389756
2014,267.69852,0.0044827526,0.0017853429
2015,267.52322,0.0040249173,0.001528026
2016,269.30875,0.004237404,0.001348725
2017,268.79016,0.004109925,0.0013976768
2018,268.48288,0.004483431,0.0014346916
2019,267.56818,0.0044052205,0.0017894661
2020,267.92017,0.005057164,0.0018606646
2021,269.1075,0.005031483,0.0018875264
2022,268.7726,0.003846868,0.00124313
2023,268.7935,0.0022604526,0.0006683316
2024,269.2621,0.0050302777,0.001574065
2025,263.49362,0.002128029,0.0013376317
