month,maxTemp,minTemp,meanTemp,maxTempF,minTempF,meanTempF,raindays,rainfall,climateFromMemDate,station,latitude,longitude
1,21.0,8.8,,69.8,47.8,,2.7,17.7,2020-06-11,Bhairahwa,27.5,83.4
2,25.4,10.7,,77.7,51.3,,2.7,19.2,2020-06-11,Bhairahwa,27.5,83.4
3,31.3,14.6,,88.3,58.3,,2.5,16.7,2020-06-11,Bhairahwa,27.5,83.4
4,36.1,19.9,,97.0,67.8,,3.2,26.4,2020-06-11,Bhairahwa,27.5,83.4
5,36.4,23.6,,97.5,74.5,,8.2,82.3,2020-06-11,Bhairahwa,27.5,83.4
6,35.5,25.7,,95.9,78.3,,13.4,269.4,2020-06-11,Bhairahwa,27.5,83.4
7,33.0,25.9,,91.4,78.6,,20.5,545.6,2020-06-11,Bhairahwa,27.5,83.4
8,33.4,25.9,,92.1,78.6,,18.6,395.5,2020-06-11,Bhairahwa,27.5,83.4
9,33.0,24.7,,91.4,76.5,,14.8,253.5,2020-06-11,Bhairahwa,27.5,83.4
10,32.2,20.3,,90.0,68.5,,4.4,77.5,2020-06-11,Bhairahwa,27.5,83.4
11,28.9,14.5,,84.0,58.1,,0.8,8.2,2020-06-11,Bhairahwa,27.5,83.4
12,24.1,10.2,,75.4,50.4,,1.0,13.3,2020-06-11,Bhairahwa,27.5,83.4
1,22.7,9.0,,72.9,48.2,,1.8,11.7,2020-06-11,Biratnagar,26.5,87.3
2,26.1,11.1,,79.0,52.0,,2.8,13.2,2020-06-11,Biratnagar,26.5,87.3
3,30.9,15.6,,87.6,60.1,,2.8,13.2,2020-06-11,Biratnagar,26.5,87.3
4,33.9,20.4,,93.0,68.7,,5.6,53.1,2020-06-11,Biratnagar,26.5,87.3
5,33.3,23.3,,91.9,73.9,,11.1,186.0,2020-06-11,Biratnagar,26.5,87.3
6,32.9,25.2,,91.2,77.4,,17.7,302.4,2020-06-11,Biratnagar,26.5,87.3
7,32.1,25.6,,89.8,78.1,,23.4,530.8,2020-06-11,Biratnagar,26.5,87.3
8,32.5,25.8,,90.5,78.4,,20.5,378.3,2020-06-11,Biratnagar,26.5,87.3
9,32.1,24.7,,89.8,76.5,,17.8,298.8,2020-06-11,Biratnagar,26.5,87.3
10,31.6,21.1,,88.9,70.0,,6.4,91.8,2020-06-11,Biratnagar,26.5,87.3
11,29.3,15.3,,84.7,59.5,,1.2,5.9,2020-06-11,Biratnagar,26.5,87.3
12,25.4,10.5,,77.7,50.9,,1.0,6.6,2020-06-11,Biratnagar,26.5,87.3
1,19.9,5.4,,67.8,41.7,,29.0,34.4,2016-09-15,Birendranagar,28.6,81.6
2,22.5,7.9,,72.5,46.2,,28.0,42.5,2016-09-15,Birendranagar,28.6,81.6
3,27.6,11.8,,81.7,53.2,,29.0,26.0,2016-09-15,Birendranagar,28.6,81.6
4,32.8,16.6,,91.0,61.9,,25.0,29.2,2016-09-15,Birendranagar,28.6,81.6
5,33.9,20.4,,93.0,68.7,,31.0,91.3,2016-09-15,Birendranagar,28.6,81.6
6,33.1,22.9,,91.6,73.2,,30.0,252.3,2016-09-15,Birendranagar,28.6,81.6
7,30.7,23.5,,87.3,74.3,,31.0,471.9,2016-09-15,Birendranagar,28.6,81.6
